rs10004195	Helicobacter pylori serologic status
rs1044873	Chronic lymphocytic leukemia
rs10455872	Aortic-valve calcification
rs10455872	Coronary artery disease or ischemic stroke
rs10455872	Coronary artery disease or large artery stroke
rs10455872	Lipoprotein-associated phospholipase A2 activity change in response to statin therapy
rs10455872	Lp (a) levels
rs10455872	Response to statin therapy
rs10455872	Response to statin therapy (LDL-C)
rs1046089	Menopause (age at onset)
rs10463316	Metabolite levels (Pyroglutamine)
rs10466829	Multiple sclerosis
rs10468017	Age-related macular degeneration
rs10468017	Cardiovascular disease risk factors
rs10468017	HDL cholesterol
rs10468017	Metabolic syndrome (bivariate traits)
rs10468017	Phospholipid levels (plasma)
rs1046875	Glycated hemoglobin levels
rs1046896	Glycated hemoglobin levels
rs1046934	Height
rs1046943	Height
rs1047014	Height
rs10472076	Breast cancer
rs10476160	Venous thromboembolism (gene x gene interaction)
rs1047781	Tumor biomarkers
rs1047781	Vitamin B12 levels
rs1047891	HDL cholesterol
rs1047891	Plasma homocysteine levels (post-methionine load test)
rs10479334	Personality dimensions
rs10480300	Red blood cell traits
rs10480300	Urate levels
rs10483727	Glaucoma (primary open-angle)
rs10483727	Vertical cup-disc ratio
rs10483776	N-glycan levels
rs10484246	Morbidity-free survival
rs10484554	AIDS progression
rs10484554	Psoriasis
rs10484561	Follicular lymphoma
rs1048466	Obesity (early onset extreme)
rs10484761	Esophageal cancer
rs10485022	Brain connectivity
rs10486483	Crohns disease
rs10488631	Primary biliary cirrhosis
rs10488631	Rheumatoid arthritis
rs10488631	Systemic lupus erythematosus
rs10488631	Systemic sclerosis
rs1048886	Type 2 diabetes
rs10489202	Schizophrenia
rs10489615	HDL cholesterol
rs10489759	Immune response to smallpox vaccine (IL-6)
rs10490626	Cholesterol, total
rs10490626	LDL cholesterol
rs10490924	Age-related macular degeneration
rs10490924	Age-related macular degeneration (CNV vs. GA)
rs10490924	Age-related macular degeneration (CNV)
rs10490924	Age-related macular degeneration (GA)
rs10491003	Calcium levels
rs10492321	Height
rs1049296	Alcohol consumption (transferrin glycosylation)
rs10492972	Multiple sclerosis
rs10494112	Pagets disease
rs10494366	Electrocardiographic traits
rs10494366	QT interval
rs10495903	Crohns disease
rs10495903	Inflammatory bowel disease
rs10495928	Hemoglobin
rs10495928	Red blood cell count
rs10496265	Aging traits
rs10496288	Hypertension
rs10496289	Hypertension
rs10496964	Epilepsy (generalized)
rs10497324	DNA methylation (parent-of-origin)
rs10497394	Otitis media (chronic/recurrent)
rs10497813	Self-reported allergy
rs10498633	Alzheimers disease (late onset)
rs10498635	Pagets disease
rs10499194	Rheumatoid arthritis
rs10499197	Systemic lupus erythematosus and Systemic sclerosis
rs10500264	Inflammatory bowel disease (early onset)
rs10500355	Refractive error
rs10500569	Metabolite levels
rs10501320	Proinsulin levels
rs10502861	Male-pattern baldness
rs10503253	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs10503253	Schizophrenia
rs10503669	HDL cholesterol
rs10503669	Triglycerides
rs10503733	Prostate cancer
rs10503951	Immune response to smallpox vaccine (IL-6)
rs10504130	Venous thromboembolism (gene x gene interaction)
rs10504861	Migraine without aura
rs10505477	Colorectal cancer
rs10505477	Prostate cancer (early onset)
rs10505483	Prostate cancer
rs1050631	Esophageal squamous cell cancer (length of survival)
rs10506328	Mean platelet volume
rs10506525	Primary tooth development (time to first tooth eruption)
rs10507246	Venous thromboembolism (gene x gene interaction)
rs10508372	Asthma
rs10508727	Immune response to smallpox vaccine (IL-6)
rs10509373	Response to tamoxifen in breast cancer
rs10509540	Type 1 diabetes
rs10510452	Testicular germ cell tumor
rs10512248	Height
rs10512472	Platelet counts
rs10512597	Fibrinogen
rs10512627	Mean platelet volume
rs10513137	Height
rs10513686	Liver enzyme levels (gamma-glutamyl transferase)
rs10513789	Parkinsons disease
rs10515552	Vitamin B12 levels
rs10516089	Venous thromboembolism (gene x gene interaction)
rs10516487	Systemic lupus erythematosus
rs10516526	Pulmonary function
rs10517086	Type 1 diabetes
rs1051730	Lung adenocarcinoma
rs1051730	Lung cancer
rs1051730	Nicotine dependence
rs1051730	Smoking behavior
rs10518693	Metabolic traits
rs10518733	Hematological and biochemical traits
rs10519210	Heart failure
rs10519227	Thyroid hormone levels
rs10521222	C-reactive protein
rs10521318	Inflammatory bowel disease
rs1052501	Multiple myeloma
rs1053051	Bone mineral density
rs1055129	White matter hyperintensity burden
rs1055144	Waist-hip ratio
rs1056667	Educational attainment
rs1057910	Warfarin maintenance dose
rs1058172	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)
rs1059513	Allergic sensitization
rs1059513	IgE levels 
rs1059611	Lipid metabolism phenotypes
rs1061147	Age-related macular degeneration
rs1061170	Age-related macular degeneration
rs1061170	Age-related macular degeneration (CNV)
rs1061170	Age-related macular degeneration (GA)
rs1063192	Glaucoma (primary open-angle)
rs1063192	Vertical cup-disc ratio
rs1063856	Coagulation factor levels
rs1064395	Bipolar disorder
rs1065656	Insulin-like growth factors
rs1065852	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)
rs10665	End-stage coagulation
rs10734105	Crohns disease
rs10737680	Age-related macular degeneration
rs10738760	Vascular endothelial growth factor levels
rs10740118	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)
rs10740993	Primary tooth development (number of teeth)
rs1074145	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)
rs10741657	Vitamin D insufficiency
rs10745954	C-reactive protein
rs1074683	Height
rs10747502	Myopia (pathological)
rs10748128	Height
rs10757269	Ankle-brachial index 
rs10757274	Coronary heart disease
rs10757278	Myocardial infarction
rs10758658	Mean corpuscular hemoglobin
rs10758658	Mean corpuscular volume
rs10758669	Crohns disease
rs10758669	Inflammatory bowel disease
rs10758669	Ulcerative colitis
rs10759243	Breast cancer
rs10761659	Crohns disease
rs10761659	Inflammatory bowel disease
rs10761731	Platelet counts
rs10761731	Triglycerides
rs10761779	Liver enzyme levels
rs1076540	Liver enzyme levels (gamma-glutamyl transferase)
rs10765792	Sudden cardiac arrest
rs10767664	Body mass index
rs10767873	Renal function-related traits (BUN)
rs10768122	Vitiligo
rs10769780	Phospholipid levels (plasma)
rs10770612	Aortic root size
rs10770705	Height
rs10771022	Venous thromboembolism (gene x gene interaction)
rs10771399	Breast cancer
rs10771399	Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)
rs10774021	Chronic kidney disease
rs10774214	Colorectal cancer
rs10774610	Drinking behavior
rs10774624	Rheumatoid arthritis
rs10774625	Retinal vascular caliber
rs1077514	Cholesterol, total
rs10775480	Bladder cancer
rs1077667	Multiple sclerosis
rs10778213	C-reactive protein
rs1077834	Hematological and biochemical traits
rs1077835	HDL cholesterol
rs1077989	Phospholipid levels (plasma)
rs10781499	Inflammatory bowel disease
rs10781499	Ulcerative colitis
rs10782001	Psoriasis
rs10784502	Brain structure
rs10788160	Serum prostate-specific antigen levels
rs10788817	Serum metabolite levels
rs10788819	Hair morphology
rs10789369	Schizophrenia
rs10790162	HDL Cholesterol - Triglycerides (HDLC-TG)
rs10790162	Metabolic syndrome
rs10790162	Waist Circumference - Triglycerides (WC-TG)
rs10790268	Rheumatoid arthritis
rs10792320	Phospholipid levels (plasma)
rs10792832	Alzheimers disease (late onset)
rs10794720	Chronic kidney disease
rs10795668	Colorectal cancer
rs10797432	Ulcerative colitis
rs1079866	Menarche (age at onset)
rs10799445	Height
rs10799701	Metabolic traits
rs10799824	Thyroid hormone levels
rs10800309	Ulcerative colitis
rs10801047	Crohns disease
rs10801555	Age-related macular degeneration
rs10806425	Celiac disease
rs10809650	Dupuytrens disease
rs10811661	Type 2 diabetes
rs10813374	Immune response to measles-mumps-rubella vaccine
rs10813766	Mean platelet volume
rs10813951	IgG glycosylation
rs10813957	IgG glycosylation
rs10814916	Type 2 diabetes
rs10818854	Polycystic ovary syndrome
rs10819937	Liver enzyme levels (alkaline phosphatase)
rs10821415	Atrial fibrillation
rs10821905	Urate levels
rs10821936	Acute lymphoblastic leukemia (childhood)
rs10821944	Rheumatoid arthritis
rs10822013	Breast cancer
rs10822184	Androgen levels
rs10824026	Atrial fibrillation
rs10826334	Systolic blood pressure (alcohol consumption interaction)
rs10828151	Venous thromboembolism (gene x gene interaction)
rs10828317	Acute lymphoblastic leukemia (B-cell precursor)
rs10829848	Insulin-related traits
rs10830956	Metabolic syndrome (bivariate traits)
rs10830962	Diabetes (gestational)
rs10830962	Glycemic traits
rs10830962	Metabolic syndrome
rs10830962	Metabolite levels
rs10830963	Fasting glucose-related traits
rs10830963	Fasting glucose-related traits (interaction with BMI)
rs10830963	Fasting plasma glucose
rs10830963	Metabolite levels
rs10830963	Obesity-related traits
rs10831496	Tanning
rs10834449	Intelligence
rs10835187	Bone mineral density
rs10838681	Metabolic syndrome
rs10838687	Proinsulin levels
rs10838708	Height
rs10838725	Alzheimers disease (late onset)
rs10838738	Body mass index
rs10838798	Height
rs10842262	Non-obstructive azoospermia
rs10843164	Height
rs10845606	Systemic lupus erythematosus
rs10846744	Lipoprotein-associated phospholipase A2 activity and mass
rs10849023	Red blood cell traits
rs10849915	Alcohol consumption
rs10850409	PR segment
rs10852344	Menopause (age at onset)
rs10852932	Aortic root size
rs10853057	White matter microstructure (global fractional anisotropy)
rs10853535	Bladder cancer
rs10858047	Autism
rs10859563	Height
rs10859871	Endometriosis
rs10863790	Cleft lip
rs10863936	Height
rs10865331	Ankylosing spondylitis
rs10865331	Crohns disease
rs10871454	Warfarin maintenance dose
rs10871777	Obesity
rs10871777	Obesity (early onset extreme)
rs10874746	Height
rs10875943	Prostate cancer
rs10875976	Obesity
rs10876550	Mean platelet volume
rs10876864	Vitiligo
rs10882165	Refractive error
rs10882272	Retinol levels
rs10883365	Crohns disease
rs10883437	Liver enzyme levels (alanine transaminase)
rs10885122	Fasting glucose-related traits
rs10885122	Fasting glucose-related traits (interaction with BMI)
rs10885997	Phospholipid levels (plasma)
rs10886471	Type 2 diabetes
rs10889332	Metabolite levels
rs10889353	Cholesterol, total
rs10889353	Lipid metabolism phenotypes
rs10889353	Triglycerides
rs10889569	C-reactive protein
rs10889677	Ulcerative colitis
rs10892151	Triglycerides
rs10892279	Celiac disease and Rheumatoid arthritis
rs10896449	Prostate cancer
rs10896794	Inflammatory bowel disease
rs10899489	Menarche (age at onset)
rs10900585	Malaria
rs10903122	Celiac disease
rs10903129	Cholesterol, total
rs10903129	Erythrocyte sedimentation rate
rs10904908	Cholesterol, total
rs10906115	Type 2 diabetes
rs10906982	Height
rs10908458	Liver enzyme levels (gamma-glutamyl transferase)
rs10911021	Cardiovascular heart disease in diabetics
rs10911251	Colorectal cancer
rs10913469	Body mass index
rs10913469	Weight
rs10914144	Mean platelet volume
rs10914144	Platelet counts
rs10915437	Migraine - clinic-based
rs10917151	Endometriosis
rs10917468	Thyroid volume
rs10917477	Thyroid function
rs10919071	QT interval
rs10922162	End-stage coagulation
rs10923931	Type 2 diabetes
rs10927875	Dilated cardiomyopathy
rs10930597	Blood pressure measurement (high sodium and potassium intervention)
rs10930597	Blood pressure measurement (low sodium intervention)
rs10931468	Primary biliary cirrhosis
rs10932688	Primary tooth development (number of teeth)
rs10934011	DNA methylation (parent-of-origin)
rs10934753	Plasma homocysteine levels (post-methionine load test)
rs10934853	Prostate cancer
rs10935120	Height
rs10936599	Bladder cancer
rs10936599	Chronic lymphocytic leukemia
rs10936599	Colorectal cancer
rs10936599	Multiple myeloma
rs10936599	Telomere length
rs10936601	Telomere length
rs10936632	Prostate cancer
rs10937273	Adiponectin levels
rs10937275	Drug-induced liver injury (flucloxacillin)
rs10937329	Renal function-related traits (BUN)
rs10937405	Lung adenocarcinoma
rs10938397	Body mass index
rs10938397	Obesity
rs10938494	Sphingolipid levels
rs10941679	Breast cancer
rs10944479	Serum thyroid peroxidase antibody positivity
rs10946398	Type 2 diabetes
rs10946808	Height
rs10947262	Knee osteoarthritis
rs10948222	Height
rs10948363	Alzheimers disease (late onset)
rs10953541	Coronary heart disease
rs10956483	White blood cell types
rs10958409	Intracranial aneurysm
rs10958476	Height
rs10965235	Endometriosis
rs10965250	Type 2 diabetes
rs10968576	Body mass index
rs10968576	Obesity
rs10974944	Myeloproliferative neoplasms
rs10980800	White blood cell count
rs10980926	Menarche (age at onset)
rs10982156	End-stage coagulation
rs10985070	Rheumatoid arthritis
rs10986018	Folate pathway vitamin levels
rs10986432	Venous thromboembolism (gene x gene interaction)
rs10993994	PCA3 expression level
rs10993994	Prostate cancer
rs10993994	Prostate-specific antigen levels
rs10993994	Serum prostate-specific antigen levels
rs10994336	Bipolar disorder
rs10994359	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs10994397	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs10994415	Bipolar disorder
rs10995190	Breast cancer
rs10995190	Mammographic density
rs10995245	Narcolepsy
rs10995251	Atopic dermatitis
rs10995271	Crohns disease
rs10998624	Immune reponse to smallpox (secreted IL-1beta)
rs11000019	Asthma (childhood onset)
rs11001819	Pulmonary function
rs11001819	Pulmonary function (interaction)
rs11010067	Inflammatory bowel disease
rs11012	Parkinsons disease
rs11012732	Meningioma 
rs11014166	Diastolic blood pressure
rs11014166	Hypertension
rs11018874	White blood cell types
rs1101999	Asthma
rs11021504	Height
rs11023139	Alzheimers disease (cognitive decline)
rs11024102	Glaucoma (primary open-angle)
rs11026407	Plasma thyroid-stimulating hormone levels
rs11036238	Malaria
rs11037575	Neuroblastoma
rs11038167	Schizophrenia
rs110419	Neuroblastoma
rs11042023	Obesity
rs11045879	Metabolite levels
rs11045879	Methotrexate phramacokinetics (acute lymphoblastic leukemia)
rs11047543	PR interval
rs11057830	Vitamin E levels
rs11057841	Lipoprotein-associated phospholipase A2 activity and mass
rs11061269	Amyotrophic lateral sclerosis (sporadic)
rs11065987	Cholesterol, total
rs11065987	Coronary artery disease or ischemic stroke
rs11065987	Coronary artery disease or large artery stroke
rs11065987	Hematocrit
rs11065987	Hemoglobin
rs11065987	LDL cholesterol
rs11065987	Tetralogy of Fallot
rs11066015	Coronary heart disease
rs11066015	Esophageal cancer
rs11066280	Blood pressure
rs11066280	Coronary heart disease
rs11066280	Drinking behavior
rs11066280	Esophageal cancer
rs11066280	Metabolite levels
rs11066301	Hematological parameters
rs11066453	Gamma glutamyl transpeptidase
rs11066453	Glycemic traits
rs11067228	Serum prostate-specific antigen levels
rs1106766	Urate levels
rs11071657	Fasting glucose-related traits
rs11071720	Mean platelet volume
rs11072566	Red blood cell traits
rs11072930	Venous thromboembolism (gene x gene interaction)
rs11073058	Axial length
rs11075253	Lipid metabolism phenotypes
rs11075990	Body mass index
rs11075995	Breast cancer
rs11078597	Serum albumin level
rs11078927	Asthma
rs11082304	Height
rs11082304	Platelet counts
rs11082671	Height
rs11083846	Chronic lymphocytic leukemia
rs11084753	Body mass index
rs11085824	Mean corpuscular hemoglobin
rs1108842	Adiponectin levels
rs11088859	Obesity
rs11089637	Rheumatoid arthritis
rs1109748	Phospholipid levels (plasma)
rs11098403	Schizophrenia
rs11099040	Intelligence
rs11104870	Red blood cell traits
rs11107116	Height
rs11109072	Obesity (early onset extreme)
rs11117432	Primary biliary cirrhosis
rs11118316	Visceral adipose tissue/subcutaneous adipose tissue ratio
rs11118346	Height
rs11118555	Heart rate
rs1111875	Type 2 diabetes
rs11119805	Stearic acid (18:0) plasma levels
rs11121380	Response to tocilizumab in rheumatoid arthritis
rs11123170	Renal function-related traits (BUN)
rs11128603	Plasminogen activator inhibitor type 1 levels (PAI-1)
rs11129295	Multiple sclerosis
rs11129640	Entorhinal cortical thickness
rs11129795	Electrocardiographic traits
rs11129795	QT interval
rs11135910	Prostate cancer
rs11136000	Alzheimers disease
rs11136341	Cholesterol, total
rs11136341	LDL cholesterol
rs11142387	Body mass index
rs11144134	Magnesium levels
rs11144688	Height
rs11145465	Refractive error
rs11145951	Corneal structure
rs11150589	Ulcerative colitis
rs111521887	Idiopathic pulmonary fibrosis
rs11152213	Obesity
rs11153730	Heart rate
rs11153730	QT interval
rs11154022	Resting heart rate
rs11154027	Heart rate
rs11154801	Multiple sclerosis
rs11154851	Alzheimers disease (cognitive decline)
rs11158820	Digit length ratio
rs11160190	Vaspin levels
rs11167764	Crohns disease
rs11168048	Pulmonary function
rs11168048	Pulmonary function (interaction)
rs11168249	Inflammatory bowel disease
rs11169552	Colorectal cancer
rs11171739	Type 1 diabetes
rs11171747	Systemic sclerosis
rs11171846	Immune reponse to smallpox (secreted IFN-alpha)
rs11172113	Migraine
rs11172113	Migraine without aura
rs11172113	Pulmonary function
rs11172782	Heart failure
rs11175593	Crohns disease
rs11177	Osteoarthritis
rs11190134	Red blood cell traits
rs11190140	Crohns disease
rs11190140	Ulcerative colitis
rs11190604	Palmitoleic acid (16:1n-7) plasma levels
rs11190870	Scoliosis
rs11191454	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs11191548	Blood pressure
rs11191548	Systolic blood pressure
rs11191580	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs11191580	Schizophrenia
rs11191593	Blood pressure
rs11191865	Interstitial lung disease 
rs11195128	Crohns disease
rs11199874	Prostate cancer
rs11199914	Breast cancer
rs11200638	Age-related macular degeneration (wet)
rs11203203	Celiac disease and Rheumatoid arthritis
rs11203203	Type 1 diabetes
rs11203203	Vitiligo
rs11204538	Mean corpuscular volume
rs11205277	Height
rs11205303	Height
rs11206510	Coronary heart disease
rs11206510	LDL cholesterol
rs11206510	Myocardial infarction (early onset)
rs11206801	Cerebrospinal AB1-42 levels
rs11207995	Lipid traits
rs11208659	Obesity (early onset extreme)
rs11209002	Crohns disease
rs11209003	Crohns disease
rs11209026	Ankylosing spondylitis
rs11209026	Crohns disease
rs11209026	Inflammatory bowel disease
rs11209026	Ulcerative colitis
rs11209718	Height
rs11212617	Response to metformin
rs11212617	Response to metformin in type 2 diabetes (glycemic)
rs11216126	HDL cholesterol
rs11218343	Alzheimers disease (late onset)
rs1121980	Body mass index
rs1121980	HDL cholesterol
rs1121980	Triglycerides
rs11220462	Cholesterol, total
rs11220462	LDL cholesterol
rs11221332	Celiac disease
rs11222084	Blood pressure
rs11223581	Immune reponse to smallpox (secreted IL-2)
rs11225434	Matrix metalloproteinase levels
rs1122608	Coronary artery disease
rs1122608	Coronary artery disease or ischemic stroke
rs1122608	Coronary artery disease or large artery stroke
rs1122608	Coronary heart disease
rs1122608	Myocardial infarction (early onset)
rs11226373	Matrix metalloproteinase levels
rs1122794	Mean corpuscular hemoglobin
rs1122794	Red blood cell traits
rs11228565	Prostate cancer
rs11229030	Crohns disease
rs1122979	IgG glycosylation
rs11230563	Inflammatory bowel disease
rs11230874	Phospholipid levels (plasma)
rs11234027	Vitamin D levels
rs11235667	Crohns disease
rs11239550	Mean corpuscular volume
rs11242111	Fibrinogen
rs11242417	Immune reponse to smallpox (secreted IL-12p40)
rs11242675	Breast cancer
rs11243081	End-stage coagulation
rs11243897	Attention deficit hyperactivity disorder
rs11246602	HDL cholesterol
rs11248051	Parkinsons disease
rs11248060	Parkinsons disease
rs11248850	Red blood cell traits
rs11249215	Ankylosing spondylitis
rs11249433	Breast cancer
rs11255841	Colorectal cancer
rs11257655	Type 2 diabetes
rs11259933	Height
rs11259936	Height
rs11264341	Urate levels
rs1126510	Ulcerative colitis
rs1126809	Sunburns
rs1126809	Tanning
rs1127065	Metabolic syndrome
rs112724034	Alzheimers disease (cognitive decline)
rs1127354	Chronic hepatitis C infection
rs1127354	Ribavirin-induced anemia
rs1128334	Systemic lupus erythematosus
rs1129038	Vitiligo
rs1136001	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)
rs114002140	Schizophrenia
rs114216682	Chronic obstructive pulmonary disease
rs1145652	Phospholipid levels (plasma)
rs11465699	Serum protein levels (sST2)
rs11465804	Crohns disease
rs1148259	Metabolite levels
rs1150754	Systemic lupus erythematosus
rs1150781	Height
rs115102486	Alzheimers disease (cognitive decline)
rs115136538	Lipid metabolism phenotypes
rs1152591	Atrial fibrillation
rs11532322	Schizophrenia
rs1153858	Homoarginine levels
rs1154155	Narcolepsy
rs1154988	Fibrinogen
rs11552449	Breast cancer
rs11552708	IgM levels
rs115550680	Alzheimers disease (late onset)
rs11556924	Coronary artery disease
rs11556924	Coronary artery disease or ischemic stroke
rs11556924	Coronary artery disease or large artery stroke
rs11556924	Coronary heart disease
rs11558471	Fasting glucose-related traits
rs11558471	Fasting glucose-related traits (interaction with BMI)
rs11558471	Proinsulin levels
rs11563251	Cholesterol, total
rs11563251	LDL cholesterol
rs11564024	Immune reponse to smallpox (secreted IL-1beta)
rs11564258	Crohns disease
rs11564258	Inflammatory bowel disease
rs11568563	Progressive supranuclear palsy
rs11568818	Prostate cancer
rs11571833	Breast cancer
rs115744676	PR interval in Tripanosoma cruzi seropositivity
rs11574637	Systemic lupus erythematosus
rs11574703	Response to fenofibrate
rs11574914	Rheumatoid arthritis
rs11575839	Complement C3 and C4 levels
rs11578508	Heart rate
rs11581062	Multiple sclerosis
rs1158167	Cystatin C
rs11582563	Autism
rs11584383	Crohns disease
rs11584700	Educational attainment
rs115849089	Lipid metabolism phenotypes
rs11587400	Autism
rs115881343	Cognitive decline (age-related)
rs1158867	Protein C levels
rs11591147	LDL cholesterol
rs11591147	Response to statin therapy (LDL-C)
rs11597390	Liver enzyme levels
